rank,team,record,week
4,OklahomaOKLA,11-1,12
5,IowaIOWA,12-1,12
6,StanfordSTAN,11-2,12
7,Ohio StateOSU,11-1,12
8,Notre DameND,10-2,12
9,Florida StateFSU,10-2,12
10,North CarolinaUNC,11-2,12
11,TCUTCU,10-2,12
12,Ole MissMISS,9-3,12
13,NorthwesternNW,10-2,12
14,MichiganMICH,9-3,12
15,OregonORE,9-3,12
16,Oklahoma StateOKST,10-2,12
17,BaylorBAY,9-3,12
18,HoustonHOU,12-1,12
19,FloridaFLA,10-3,12
20,LSULSU,8-3,12
21,NavyNAVY,9-2,12
22,UtahUTAH,9-3,12
23,TennesseeTENN,8-4,12
24,TempleTEM,10-3,12
25,USCUSC,8-5,12
1,ClemsonCLEM,13-0,13
2,AlabamaALA,12-1,13
3,Michigan StateMSU,12-1,13
4,OklahomaOKLA,11-1,13
5,IowaIOWA,12-1,13
6,StanfordSTAN,11-2,13
7,Ohio StateOSU,11-1,13
8,Notre DameND,10-2,13
9,Florida StateFSU,10-2,13
10,North CarolinaUNC,11-2,13
11,TCUTCU,10-2,13
12,Ole MissMISS,9-3,13
13,NorthwesternNW,10-2,13
14,MichiganMICH,9-3,13
15,OregonORE,9-3,13
16,Oklahoma StateOKST,10-2,13
17,BaylorBAY,9-3,13
18,HoustonHOU,12-1,13
19,FloridaFLA,10-3,13
20,LSULSU,8-3,13
21,NavyNAVY,9-2,13
22,UtahUTAH,9-3,13
23,TennesseeTENN,8-4,13
24,TempleTEM,10-3,13
25,USCUSC,8-5,13
1,ClemsonCLEM,13-0,14
2,AlabamaALA,12-1,14
3,Michigan StateMSU,12-1,14
4,OklahomaOKLA,11-1,14
5,IowaIOWA,12-1,14
6,StanfordSTAN,11-2,14
7,Ohio StateOSU,11-1,14
8,Notre DameND,10-2,14
9,Florida StateFSU,10-2,14
10,North CarolinaUNC,11-2,14
11,TCUTCU,10-2,14
12,Ole MissMISS,9-3,14
13,NorthwesternNW,10-2,14
14,MichiganMICH,9-3,14
15,OregonORE,9-3,14
16,Oklahoma StateOKST,10-2,14
17,BaylorBAY,9-3,14
18,HoustonHOU,12-1,14
19,FloridaFLA,10-3,14
20,LSULSU,8-3,14
21,NavyNAVY,9-2,14
22,UtahUTAH,9-3,14
23,TennesseeTENN,8-4,14
24,TempleTEM,10-3,14
25,USCUSC,8-5,14
1,ClemsonCLEM,13-0,15
2,AlabamaALA,12-1,15
3,Michigan StateMSU,12-1,15
4,OklahomaOKLA,11-1,15
5,IowaIOWA,12-1,15
6,StanfordSTAN,11-2,15
7,Ohio StateOSU,11-1,15
8,Notre DameND,10-2,15
9,Florida StateFSU,10-2,15
10,North CarolinaUNC,11-2,15
11,TCUTCU,10-2,15
12,Ole MissMISS,9-3,15
13,NorthwesternNW,10-2,15
14,MichiganMICH,9-3,15
15,OregonORE,9-3,15
16,Oklahoma StateOKST,10-2,15
17,BaylorBAY,9-3,15
18,HoustonHOU,12-1,15
19,FloridaFLA,10-3,15
20,LSULSU,8-3,15
21,NavyNAVY,9-2,15
22,UtahUTAH,9-3,15
23,TennesseeTENN,8-4,15
24,TempleTEM,10-3,15
25,USCUSC,8-5,15
